iter	Passed	Remaining
406	7550	11000
407	7565	10977
408	7588	10965
409	7610	10951
410	7652	10966
411	7670	10947
412	7688	10928
413	7709	10912
414	7727	10892
415	7743	10871
416	7760	10850
417	7783	10837
418	7797	10812
419	7823	10803
420	7843	10786
421	7860	10766
422	7878	10746
423	7896	10727
424	7920	10715
425	7947	10708
426	7990	10722
427	8012	10707
428	8028	10685
429	8049	10670
430	8074	10660
431	8098	10647
432	8124	10638
433	8143	10620
434	8183	10629
435	8206	10615
436	8231	10604
437	8246	10581
438	8268	10566
439	8293	10555
440	8322	10549
441	8357	10550
442	8376	10531
443	8401	10520
444	8423	10506
445	8448	10494
446	8472	10481
447	8489	10459
448	8508	10441
449	8543	10441
450	8574	10438
451	8597	10423
452	8631	10422
453	8654	10408
454	8681	10398
455	8698	10377
456	8716	10357
457	8737	10340
458	8789	10360
459	8810	10342
460	8833	10328
461	8861	10318
462	8884	10304
463	8915	10299
464	8937	10282
465	8962	10269
466	8984	10254
467	9006	10237
468	9031	10225
469	9057	10213
470	9075	10192
471	9100	10180
472	9126	10168
473	9150	10154
474	9174	10140
475	9194	10121
476	9215	10103
477	9237	10087
478	9259	10071
479	9279	10052
480	9304	10039
481	9326	10023
482	9349	10007
483	9370	9990
484	9391	9972
485	9415	9957
486	9434	9938
487	9452	9917
488	9473	9899
489	9502	9890
490	9524	9873
491	9560	9871
492	9579	9851
493	9613	9847
494	9633	9827
495	9653	9809
496	9671	9788
497	9694	9771
498	9714	9753
499	9749	9749
500	9767	9728
501	9784	9706
502	9807	9690
503	9826	9670
504	9847	9652
505	9871	9637
506	9897	9624
507	9919	9606
508	9940	9589
509	9964	9573
510	9996	9566
511	10048	9577
512	10073	9562
513	10091	9541
514	10108	9519
515	10125	9497
516	10143	9476
517	10161	9455
518	10182	9437
519	10202	9417
520	10220	9396
521	10241	9378
522	10273	9370
523	10304	9360
524	10325	9342
525	10343	9320
526	10361	9299
527	10400	9297
528	10420	9277
529	10439	9257
530	10458	9237
531	10482	9221
532	10520	9217
533	10537	9195
534	10556	9175
535	10576	9155
536	10596	9136
537	10616	9116
538	10635	9096
539	10652	9074
540	10677	9059
541	10697	9039
542	10724	9025
543	10744	9006
544	10763	8985
545	10779	8963
546	10797	8942
547	10817	8922
548	10837	8903
549	10856	8882
550	10874	8861
551	10895	8843
552	10914	8822
553	10931	8800
554	10951	8780
555	10976	8765
556	10995	8744
557	11011	8722
558	11031	8702
559	11053	8684
560	11077	8668
561	11097	8648
562	11117	8629
563	11138	8610
564	11170	8599
565	11194	8583
566	11212	8562
567	11236	8545
568	11260	8529
569	11283	8512
570	11302	8491
571	11324	8473
572	11345	8454
573	11367	8436
574	11392	8420
575	11411	8400
576	11431	8380
577	11450	8360
578	11473	8342
579	11492	8322
580	11521	8309
581	11541	8289
582	11560	8268
583	11584	8251
584	11607	8234
585	11644	8226
586	11667	8208
587	11697	8196
588	11729	8184
589	11754	8168
590	11773	8147
591	11790	8125
592	11814	8108
593	11851	8100
594	11877	8084
595	11897	8064
596	11925	8050
597	11951	8034
598	11985	8023
599	12005	8003
600	12023	7982
601	12047	7964
602	12074	7949
603	12095	7930
604	12118	7912
605	12138	7891
606	12163	7875
607	12186	7857
608	12207	7837
609	12232	7820
610	12268	7810
611	12298	7797
612	12330	7784
613	12387	7787
614	12409	7768
615	12434	7751
616	12464	7737
617	12490	7720
618	12521	7706
619	12543	7688
620	12564	7668
621	12588	7650
622	12609	7630
623	12630	7610
624	12653	7591
625	12670	7569
626	12690	7549
627	12712	7530
628	12732	7509
629	12752	7489
630	12770	7468
631	12787	7445
632	12802	7422
633	12823	7402
634	12843	7382
635	12863	7361
636	12881	7340
637	12899	7319
638	12920	7299
639	12940	7278
640	12961	7259
641	12979	7238
642	13000	7217
643	13020	7197
644	13038	7176
645	13061	7157
646	13081	7137
647	13115	7124
648	13142	7107
649	13166	7089
650	13188	7070
651	13204	7047
652	13224	7027
653	13242	7005
654	13263	6986
655	13282	6965
656	13300	6944
657	13316	6921
658	13331	6898
659	13356	6880
660	13379	6861
661	13403	6843
662	13422	6822
663	13444	6803
664	13480	6791
665	13500	6770
666	13526	6753
667	13547	6733
668	13572	6715
669	13599	6698
670	13623	6679
671	13645	6660
672	13667	6640
673	13687	6620
674	13707	6599
675	13723	6577
676	13738	6554
677	13755	6532
678	13775	6512
679	13793	6491
680	13812	6470
681	13833	6450
682	13858	6432
683	13877	6411
684	13899	6391
685	13921	6372
686	13938	6350
687	13954	6328
688	13975	6308
689	13990	6285
690	14013	6266
691	14102	6276
692	14123	6256
693	14144	6236
694	14171	6219
695	14210	6206
696	14249	6194
697	14276	6177
698	14297	6156
699	14327	6140
700	14364	6126
701	14390	6108
702	14427	6095
703	14454	6077
704	14471	6055
705	14495	6036
706	14520	6017
707	14547	5999
708	14588	5987
709	14607	5966
710	14629	5946
